Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,XREF
9,"C1, C2, C3, C5, C8, C9, C10, C11, C12",0.1uF,C0603,CC0603KRX7R9BB104,Yaego,DK,311-1344-1-ND,CAP CERAMIC .1UF 50V X7R 0603,REF2
3,"R1, R2, R9",10k,R0603,ERJ-3EKF1002V,Panasonic,DK,P10.0KHCT-ND,RES 10.0K OHM 1/10W 1% 0603 SMD,REF8
1,"C4",10uF/16V,C3528/T,T491B106K016AT,Kemet,DK,T491B106K016AT,CAP TANTALUM 10UF 16V 10% SMD 3528,REF4
1,"Y1",14.7456 MHZ,TC39H,ECS-147.4-18-9X,ECS Inc,DK,XC1382-ND,CRYSTAL 14.7456MHZ 18PF CYLINDR,REF20
2,"C6, C7",22pF,C0603,CC0603JRNPO9BN220,Yaego,DK,311-1062-1-ND,CAP CERAMIC 22PF 50V 0603 SMD,REF3
1,"RN1",47,742-8,742C083470JTR,CTS Resistor Products,DK,742C083470JPCT-ND,RES ARRAY 47 OHM 8TERM 4RES SMD,REF10
2,"R3, R4",47,R0603,ERJ-3EKF47R5V,Panasonic,DK,P47.5HCT-ND,RES 47.5 OHM 1/10W 1% 0603 SMD,REF5
1,"R6",47 (DNP),R0603,DNP,DO NOT PLACE,(DNP),DNP,DO NOT PLACE,REF1
1,"R5",100,R0603,ERJ-3EKF1000V,Panasonic,DK,P100HCT-ND,RES 100 OHM 1/10W 1% 0603 SMD,REF6
1,"R7",100k,R0603,ERJ-3EKF1003V,Panasonic,DK,P100KHCT-ND,RES 100K OHM 1/10W 1% 0603 SMD,REF9
1,"R8",475,R0603,ERJ-3EKF4750V,Panasonic,DK,P475HCT-ND,RES 475 OHM 1/10W 1% 0603 SMD,REF7
1,"BOM-PART1",801-93-050-10-001000,*,801-93-050-10-001000,Mill-Max Manufacturing,DK,ED7150-ND,SIP SOCKET 50 POS STRAIGHT PCB,REF19
1,"JP2",961102-6404-AR,JP1,961102-6404-AR,3M,DK,3M9447-ND,CONN HEADER VERT SGL 2POS GOLD,REF22
1,"JP3",961206-6404-AR,AVR-ISP-6,961206-6404-AR,3M,DK,3M9459-ND,CONN HEADER VERT DUAL 6POS GOLD,REF21
1,"JMP2",969102-0000-DA,*,969102-0000-DA,3M,DK,3M9580-ND,SHUNT JUMPER .1"" BLACK GOLD,REF23
1,"U1",ATMEGA8-16AU,TQFP32-08,ATMEGA8-16AU,Atmel Corp,DK,ATMEGA8-16AU-ND,IC AVR MCU 8K 16MHZ IND 32-TQFP,REF12
1,"D4",LTST-C190GKT,CHIPLED_0603,LTST-C190GKT,Lite-On Inc,DK,160-1183-1-ND,LED GREEN CLEAR 0603 SMD,REF17
1,"U2",MAX3223PW,TSSOP20,MAX3223IPWR,Texas Instruments,DK,296-13092-1-ND,IC DRVR/RCVR MLTCH RS232 20TSSOP,REF11
1,"D3",MBR140SFT1,SOD123LF,MBR140SFT1G,ON Semiconductor,DK,MBR140SFT1GOSCT-ND,DIODE SCHOTTKY 40V 1A SOD123FL,REF15
1,"D2",MBR140SFT1 (DNP),SOD123LF,DNP,DO NOT PLACE,(DNP),DNP,DO NOT PLACE,REF1
2,"Q1, Q2",MMBT3904LT1,SOT23-BEC,MMBT3904LT1,Infineon Technologies,DK,MMBT3904LT1INCT-ND,TRANSISTOR SWITCHING NPN SOT-23,REF13
1,"D1",MMSD4148,SOD123,MMSD4148,Fairchild Semiconductor,DK,MMSD4148CT-ND,DIODE SML SIG 100V 0.2A SOD123,REF16
